game_id,GP,W,L,W_PCT,TOP,FGA,FGM,FG_PCT,PassTD,RushTD,PassTD_Allowed,RushTD_Allowed,PassYds,RushYds,PassYds_Allowed,RushYds_Allowed,Fum,Fum_Allowed,INT,INT_Allowed,Sacks,Sacks_Allowed,Penalties,FirstDowns,3rdDownConverted,3rdDownFailed,3rdDownAllowed,3rdDownDefended,PTS,PointDiff,Season,home_team,away_team,GP.Away,W.Away,L.Away,W_PCT.Away,TOP.Away,FGA.Away,FGM.Away,FG_PCT.Away,PassTD.Away,RushTD.Away,PassTD_Allowed.Away,RushTD_Allowed.Away,PassYds.Away,RushYds.Away,PassYds_Allowed.Away,RushYds_Allowed.Away,Fum.Away,Fum_Allowed.Away,INT.Away,INT_Allowed.Away,Sacks.Away,Sacks_Allowed.Away,Penalties.Away,FirstDowns.Away,3rdDownConverted.Away,3rdDownFailed.Away,3rdDownAllowed.Away,3rdDownDefended.Away,PTS.Away,PointDiff.Away,game_date
2014_12_CLE_ATL,11.0,4.0,6.0,0.1524242424242424,16240.8,1.8,1.6,0.75,1.7,0.8,1.4,1.3,285.7,96.1,288.8,122.2,0.6,0.8,0.9,0.9,1.3,2.0,6.3,20.5,5.2,7.3,6.6,7.3,23.8,-1.7,2014,ATL,CLE,11.0,6.0,4.0,0.12027777777777778,15457.4,2.0,1.6,0.75,1.1,1.2,1.4,0.7,254.2,113.1,239.6,142.1,0.6,0.3,1.4,0.5,2.0,1.7,7.2,20.1,4.3,9.2,5.4,9.5,21.6,2.1,2014-11-23
2014_13_ARI_ATL,12.0,4.0,7.0,0.13856749311294767,16452.18181818182,1.7272727272727273,1.5454545454545454,0.7777777777777778,1.7272727272727273,0.8181818181818182,1.2727272727272727,1.3636363636363635,284.54545454545456,93.0909090909091,291.8181818181818,125.81818181818181,0.5454545454545454,0.8181818181818182,1.0909090909090908,0.9090909090909091,1.2727272727272727,2.090909090909091,6.363636363636363,20.545454545454547,5.545454545454546,7.2727272727272725,6.363636363636363,7.181818181818182,23.818181818181817,-1.7272727272727273,2014,ATL,ARI,12.0,9.0,2.0,0.23362521317066773,17667.909090909092,1.8181818181818181,1.6363636363636365,0.8888888888888888,1.5454545454545454,0.5454545454545454,1.3636363636363635,0.45454545454545453,253.27272727272728,78.36363636363636,270.0,84.45454545454545,0.45454545454545453,0.36363636363636365,1.3636363636363635,0.5454545454545454,2.272727272727273,1.7272727272727273,6.181818181818182,18.636363636363637,6.454545454545454,8.090909090909092,4.909090909090909,8.363636363636363,21.818181818181817,4.090909090909091,2014-11-30
2014_14_ATL_GB,13.0,9.0,3.0,0.13422410922410924,16780.75,1.9166666666666667,1.6666666666666667,0.8966666666666667,2.6666666666666665,0.75,1.5833333333333333,0.8333333333333334,282.0833333333333,108.91666666666667,248.91666666666666,129.25,0.5833333333333334,0.4166666666666667,1.25,0.3333333333333333,2.3333333333333335,2.1666666666666665,5.666666666666667,21.333333333333332,5.666666666666667,6.416666666666667,5.5,7.333333333333333,31.666666666666668,9.416666666666666,2014,GB,ATL,13.0,5.0,7.0,0.13343045843045842,16793.5,2.0,1.8333333333333333,0.8,1.75,0.75,1.25,1.25,290.9166666666667,97.16666666666667,292.0,118.25,0.5833333333333334,0.75,1.1666666666666667,0.9166666666666666,1.1666666666666667,2.0,6.5,20.666666666666668,5.666666666666667,7.416666666666667,5.916666666666667,7.083333333333333,24.25,-0.6666666666666666,2014-12-08
2014_15_PIT_ATL,14.0,5.0,8.0,0.12316657701273084,16853.846153846152,2.0,1.7692307692307692,0.7727272727272727,1.9230769230769231,0.7692307692307693,1.3846153846153846,1.3076923076923077,297.38461538461536,96.6923076923077,294.6923076923077,122.92307692307692,0.5384615384615384,0.6923076923076923,1.0769230769230769,0.9230769230769231,1.1538461538461537,1.9230769230769231,6.230769230769231,21.076923076923077,5.615384615384615,7.3076923076923075,6.0,6.923076923076923,25.23076923076923,-1.0769230769230769,2014,ATL,PIT,14.0,8.0,5.0,0.15958763458763459,20515.0,2.0,1.7692307692307692,0.9015151515151515,2.3076923076923075,0.5384615384615384,2.0,0.6923076923076923,315.38461538461536,123.84615384615384,259.38461538461536,104.07692307692308,0.6153846153846154,0.7692307692307693,0.6153846153846154,0.6153846153846154,1.8461538461538463,2.3846153846153846,7.3076923076923075,24.53846153846154,6.076923076923077,7.461538461538462,4.076923076923077,7.461538461538462,27.846153846153847,3.3076923076923075,2014-12-14
2014_16_ATL_NO,15.0,6.0,8.0,0.06521672771672772,19015.714285714286,1.5714285714285714,1.3571428571428572,0.8636363636363636,2.2142857142857144,0.9285714285714286,1.7142857142857142,1.0714285714285714,311.2857142857143,120.78571428571429,269.2857142857143,132.92857142857142,0.35714285714285715,0.7857142857142857,0.7857142857142857,0.8571428571428571,2.2142857142857144,1.6428571428571428,5.357142857142857,25.0,6.0,6.5,5.928571428571429,7.142857142857143,26.0,-0.7142857142857143,2014,NO,ATL,15.0,5.0,9.0,0.11436896436896436,16912.571428571428,2.0,1.7857142857142858,0.7916666666666666,1.9285714285714286,0.7142857142857143,1.2857142857142858,1.3571428571428572,298.2857142857143,96.71428571428571,299.35714285714283,117.35714285714286,0.5,0.6428571428571429,1.0,0.9285714285714286,1.1428571428571428,1.7857142857142858,6.0,21.0,5.642857142857143,7.142857142857143,6.0,6.785714285714286,24.857142857142858,-1.5,2014-12-21
2014_17_CAR_ATL,16.0,6.0,9.0,0.11091103341103341,16997.066666666666,2.066666666666667,1.8666666666666667,0.8076923076923077,1.8666666666666667,0.7333333333333333,1.2666666666666666,1.3333333333333333,299.8666666666667,95.66666666666667,300.26666666666665,113.33333333333333,0.6,0.6,1.0666666666666667,0.8666666666666667,1.4,1.6666666666666667,6.0,20.8,5.733333333333333,7.2,6.066666666666666,6.8,25.2,-0.3333333333333333,2014,ATL,CAR,16.0,6.0,9.0,0.1267063492063492,19604.0,2.2,1.8,0.8607142857142858,1.4666666666666666,0.6,1.6666666666666667,0.9333333333333333,247.6,122.26666666666667,243.53333333333333,115.26666666666667,0.8666666666666667,0.6,0.8,0.8,2.2666666666666666,2.7333333333333334,5.2,21.933333333333334,5.933333333333334,8.2,5.466666666666667,7.466666666666667,20.333333333333332,-4.4,2014-12-28
2014_01_OAK_NYJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,NYJ,LV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-09-07
2014_02_HOU_OAK,1.0,0.0,1.0,0.0,10783.0,0.0,0.0,,2.0,0.0,1.0,1.0,151.0,25.0,221.0,212.0,1.0,0.0,1.0,0.0,2.0,2.0,4.0,11.0,3.0,9.0,5.0,7.0,14.0,-5.0,2014,LV,HOU,1.0,1.0,0.0,1.0,16822.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,206.0,115.0,267.0,131.0,2.0,1.0,0.0,0.0,3.0,0.0,6.0,15.0,7.0,7.0,3.0,9.0,17.0,11.0,2014-09-14
2014_03_OAK_NE,2.0,1.0,1.0,0.25,18126.0,2.5,2.5,1.0,1.0,1.0,1.5,0.5,199.0,119.5,190.0,122.5,1.0,1.0,2.5,0.0,3.5,2.5,12.0,18.0,5.0,10.5,5.5,6.5,25.0,5.0,2014,NE,LV,2.0,0.0,2.0,0.0,11313.0,0.0,0.0,,1.5,0.5,1.5,1.0,207.0,63.0,180.0,200.0,0.5,1.0,0.5,1.0,1.0,1.0,4.5,16.5,2.5,8.0,7.0,6.5,14.0,-10.5,2014-09-21
2014_04_MIA_OAK,3.0,0.0,3.0,0.0,12961.666666666666,1.0,1.0,1.0,1.0,0.3333333333333333,1.3333333333333333,0.6666666666666666,196.0,64.33333333333333,198.0,158.66666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,1.3333333333333333,0.6666666666666666,5.0,15.666666666666666,3.3333333333333335,8.0,7.666666666666667,7.333333333333333,12.333333333333334,-9.333333333333334,2014,LV,MIA,3.0,1.0,2.0,0.3333333333333333,15890.333333333334,2.6666666666666665,2.3333333333333335,0.8888888888888888,1.3333333333333333,0.3333333333333333,1.6666666666666667,1.0,208.0,137.33333333333334,212.33333333333334,125.33333333333333,1.6666666666666667,0.6666666666666666,0.0,0.6666666666666666,3.0,3.0,4.333333333333333,21.666666666666668,5.333333333333333,9.333333333333334,6.333333333333333,9.666666666666666,19.333333333333332,-8.333333333333334,2014-09-28
