game_id,GP,W,L,W_PCT,TOP,FGA,FGM,FG_PCT,PassTD,RushTD,PassTD_Allowed,RushTD_Allowed,PassYds,RushYds,PassYds_Allowed,RushYds_Allowed,Fum,Fum_Allowed,INT,INT_Allowed,Sacks,Sacks_Allowed,Penalties,FirstDowns,3rdDownConverted,3rdDownFailed,3rdDownAllowed,3rdDownDefended,PTS,PointDiff,Season,home_team,away_team,GP.Away,W.Away,L.Away,W_PCT.Away,TOP.Away,FGA.Away,FGM.Away,FG_PCT.Away,PassTD.Away,RushTD.Away,PassTD_Allowed.Away,RushTD_Allowed.Away,PassYds.Away,RushYds.Away,PassYds_Allowed.Away,RushYds_Allowed.Away,Fum.Away,Fum_Allowed.Away,INT.Away,INT_Allowed.Away,Sacks.Away,Sacks_Allowed.Away,Penalties.Away,FirstDowns.Away,3rdDownConverted.Away,3rdDownFailed.Away,3rdDownAllowed.Away,3rdDownDefended.Away,PTS.Away,PointDiff.Away,game_date,Key,Home Score,Away Score,Home Odds Close,Away Odds Close,Total Score Close,Home Line Close,Home Odds,Away Odds,Home Winnings,Away Winnings,Home-Team-Cover,Home-Team-Win,Over
2023_11_NYG_WAS,11.0,4.0,7.0,0.1616161616161616,17775.272727272728,1.818181818181818,1.4545454545454546,0.8333333333333333,1.6363636363636365,0.7272727272727273,2.1818181818181817,0.5454545454545454,276.27272727272725,95.72727272727272,272.6363636363636,114.27272727272728,0.5454545454545454,0.9090909090909092,0.5454545454545454,1.0909090909090908,3.1818181818181817,4.636363636363637,5.454545454545454,20.545454545454547,4.818181818181818,8.090909090909092,5.2727272727272725,8.545454545454545,21.454545454545453,-6.2727272727272725,2023,WAS,NYG,11.0,3.0,8.0,0.0667060212514757,16772.81818181818,1.7272727272727273,1.181818181818182,0.7083333333333333,0.9090909090909092,0.3636363636363636,1.2727272727272727,1.5454545454545454,181.27272727272728,111.54545454545456,250.63636363636363,135.0909090909091,0.7272727272727273,0.2727272727272727,0.8181818181818182,0.8181818181818182,1.7272727272727273,5.727272727272728,5.636363636363637,15.454545454545457,4.636363636363637,10.363636363636363,4.545454545454546,8.181818181818182,13.545454545454543,-12.363636363636363,2023-11-19,2023-11-19WASNYG,19,31,1.256,4.1,39.0,-8.5,-391,310,-1.0,3.0999999999999996,0,0,1
2023_12_NE_NYG,12.0,4.0,8.0,0.0680916305916305,16210.083333333334,1.6666666666666667,1.1666666666666667,0.7348484848484849,0.9166666666666666,0.3333333333333333,1.1666666666666667,1.5,182.08333333333331,107.08333333333331,241.66666666666663,136.08333333333334,0.6666666666666666,0.3333333333333333,1.0,0.75,1.75,5.75,5.5,15.0,4.583333333333333,10.25,4.5,8.333333333333334,13.25,-11.083333333333334,2023,NYG,NE,12.0,2.0,9.0,0.0432900432900432,15682.818181818182,1.6363636363636365,1.0909090909090908,0.6666666666666667,0.9090909090909092,0.5454545454545454,1.181818181818182,0.8181818181818182,207.0909090909091,99.63636363636364,236.63636363636363,94.0909090909091,0.4545454545454545,0.4545454545454545,0.5454545454545454,1.2727272727272727,2.1818181818181817,2.272727272727273,5.909090909090909,16.90909090909091,4.454545454545454,8.818181818181818,5.363636363636363,8.454545454545455,13.454545454545457,-9.090909090909092,2023-11-26,2023-11-26NYGNE,10,7,2.75,1.476,36.0,4.5,175,-210,1.75,-1.0,1,1,0
2023_01_MIA_LAC,1.0,0.0,1.0,0.0,24619.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,229.0,233.0,466.0,70.0,1.0,0.0,1.0,0.0,0.0,3.0,6.0,30.0,9.0,6.0,4.0,5.0,34.0,-2.0,2023,LAC,MIA,1.0,1.0,0.0,1.0,16080.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,466.0,70.0,229.0,233.0,0.0,1.0,0.0,1.0,3.0,0.0,6.0,29.0,4.0,5.0,9.0,6.0,36.0,2.0,2023-09-10,2023-09-10LACMIA,34,36,1.625,2.4,51.0,-3.0,-160,140,-1.0,1.4,0,0,1
2023_02_LAC_TEN,2.0,1.0,1.0,0.25,18451.0,3.5,3.5,1.0,0.5,1.0,1.5,0.0,222.0,122.5,305.0,65.0,0.5,0.0,0.5,1.5,3.5,4.0,6.5,18.5,4.0,8.5,4.5,10.5,21.0,1.0,2023,TEN,LAC,2.0,0.0,2.0,0.0,19420.5,2.5,2.5,1.0,1.5,1.5,2.0,1.5,267.0,147.0,356.0,105.5,0.5,0.0,0.5,0.0,2.5,3.0,5.0,24.0,5.5,9.0,5.0,6.0,29.0,-2.5,2023-09-17,2023-09-17TENLAC,27,24,2.25,1.689,45.5,2.5,125,-145,1.25,-1.0,1,1,1
2023_03_LAC_MIN,3.0,0.0,3.0,0.0,16585.333333333332,0.6666666666666666,0.6666666666666666,1.0,3.0,0.0,2.333333333333333,1.0,358.3333333333333,66.33333333333333,273.3333333333333,120.66666666666669,0.6666666666666666,2.0,0.3333333333333333,0.6666666666666666,2.0,2.6666666666666665,4.666666666666667,21.666666666666668,5.333333333333333,7.333333333333333,5.666666666666667,8.333333333333334,23.0,-4.333333333333333,2023,MIN,LAC,3.0,1.0,2.0,0.1111111111111111,17788.0,2.0,1.6666666666666667,0.6666666666666666,2.333333333333333,1.0,2.333333333333333,1.0,329.3333333333333,108.0,359.6666666666667,113.66666666666669,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,3.0,2.333333333333333,7.333333333333333,24.0,5.333333333333333,8.0,4.666666666666667,7.333333333333333,28.666666666666668,-0.3333333333333333,2023-09-24,2023-09-24MINLAC,24,28,1.869,1.952,54.0,-1.0,-115,-105,-1.0,0.952,0,0,0
2023_06_DAL_LAC,6.0,2.0,3.0,0.1166666666666666,17324.0,1.6,1.4,0.8,2.0,1.0,1.6,1.2,276.4,106.4,317.8,102.6,0.8,0.4,0.6,0.4,4.2,2.0,7.0,21.2,5.2,8.4,4.0,8.0,25.4,0.6,2023,LAC,DAL,6.0,4.0,2.0,0.3194444444444445,19748.33333333333,2.6666666666666665,2.6666666666666665,1.0,1.0,0.8333333333333334,1.3333333333333333,0.6666666666666666,226.83333333333331,119.66666666666669,192.66666666666663,111.66666666666669,0.8333333333333334,0.1666666666666666,1.3333333333333333,0.6666666666666666,2.6666666666666665,2.5,7.666666666666667,19.83333333333333,6.833333333333333,7.5,4.333333333333333,8.0,25.666666666666668,9.0,2023-10-16,2023-10-16LACDAL,17,20,2.0,1.833,50.0,1.0,100,-120,-1.0,0.833,0,0,0
2023_07_LAC_KC,7.0,6.0,1.0,0.2275510204081632,19789.14285714286,2.142857142857143,2.142857142857143,1.0,2.142857142857143,0.5714285714285714,1.1428571428571428,0.2857142857142857,292.57142857142856,111.14285714285714,207.14285714285717,105.71428571428572,1.0,0.2857142857142857,0.7142857142857143,1.1428571428571428,3.142857142857143,1.0,6.571428571428571,22.571428571428573,6.428571428571429,6.714285714285714,4.714285714285714,8.0,25.428571428571427,10.428571428571429,2023,KC,LAC,7.0,2.0,4.0,0.0972222222222222,16919.333333333332,1.5,1.3333333333333333,0.8333333333333334,1.8333333333333333,1.0,2.0,1.0,273.5,111.83333333333331,335.5,96.83333333333331,0.8333333333333334,0.3333333333333333,0.6666666666666666,0.6666666666666666,3.6666666666666665,2.5,6.5,20.33333333333333,5.333333333333333,8.333333333333334,4.333333333333333,7.5,24.0,-1.8333333333333333,2023-10-22,2023-10-22KCLAC,31,17,1.4,3.1,48.5,-5.5,-250,210,0.3999999999999999,-1.0,1,1,0
2023_08_CHI_LAC,8.0,3.0,4.0,0.1011904761904761,17074.85714285714,1.7142857142857142,1.5714285714285714,0.8571428571428571,2.0,0.8571428571428571,1.7142857142857142,1.1428571428571428,277.0,103.57142857142856,320.7142857142857,93.42857142857144,0.7142857142857143,0.4285714285714285,0.8571428571428571,0.5714285714285714,3.2857142857142856,2.142857142857143,5.857142857142857,20.285714285714285,5.571428571428571,8.0,4.571428571428571,7.571428571428571,24.857142857142858,0.8571428571428571,2023,LAC,CHI,8.0,2.0,6.0,0.0428571428571428,17918.0,1.375,1.375,1.0,1.5,0.875,2.125,0.5,209.75,132.75,269.875,78.75,0.375,0.5,0.75,1.125,1.25,3.5,6.5,18.5,5.75,7.5,6.25,6.625,21.375,-5.875,2023-10-29,2023-10-29LACCHI,30,13,1.19,5.0,46.0,-9.5,-526,400,0.18999999999999995,-1.0,1,1,0
2023_09_LAC_NYJ,9.0,4.0,4.0,0.1864583333333333,13865.25,2.5,2.375,0.9375,0.625,0.375,1.0,0.625,200.0,103.375,189.25,137.25,0.625,1.0,1.0,0.625,2.75,4.0,6.5,14.875,2.875,10.125,6.125,9.0,16.5,-3.0,2023,NYJ,LAC,9.0,4.0,4.0,0.1024305555555555,16808.625,1.75,1.625,0.875,1.75,1.0,1.5,1.0,259.375,101.125,313.5,89.75,1.0,0.375,0.75,0.5,3.875,2.5,5.625,19.375,5.75,8.125,4.375,8.375,25.125,3.375,2023-11-06,2023-11-06NYJLAC,6,27,2.45,1.606,41.0,3.0,145,-165,-1.0,0.6060000000000001,0,0,0
2023_11_LAC_GB,11.0,4.0,6.0,0.1535353535353535,16296.5,1.7,1.4,0.8666666666666666,1.6,0.6,1.0,0.9,234.5,102.1,208.2,134.7,0.4,0.2,0.5,1.0,2.3,2.2,7.1,18.0,6.0,7.8,5.6,8.7,20.2,0.0,2023,GB,LAC,11.0,4.0,6.0,0.0819444444444444,17474.6,1.7,1.6,0.9,2.0,0.9,1.6,1.2,265.8,105.7,316.3,102.0,0.8,0.4,0.6,0.5,3.4,2.2,5.2,19.6,6.0,7.9,4.6,8.3,25.9,2.1,2023-11-19,2023-11-19GBLAC,23,20,2.35,1.645,44.0,3.0,135,-155,1.35,-1.0,1,1,0
